system:index,LST,NDVI,.geo
136,40.24992596000004,0.14861306496410923,"{""type"":""Point"",""coordinates"":[73.69474466150977,18.07769208395987]}"
137,47.477329250000025,0.10149101999322263,"{""type"":""Point"",""coordinates"":[73.86745847257163,19.107575384963503]}"
138,43.85081003000005,0.24971334384405905,"{""type"":""Point"",""coordinates"":[74.44901571985253,18.45659443332196]}"
139,50.01179108000002,0.1101167008358303,"{""type"":""Point"",""coordinates"":[73.87378808130515,18.592313956462622]}"
140,44.67113483000003,0.3399427793332415,"{""type"":""Point"",""coordinates"":[73.41806189875678,18.627564574041628]}"
141,46.246842050000055,0.17088596092685143,"{""type"":""Point"",""coordinates"":[74.40949560130713,18.54562142899948]}"
142,34.64608217,0.3578224693108466,"{""type"":""Point"",""coordinates"":[73.55591596302838,18.997235062646894]}"
143,47.88065561000002,0.15364176622112244,"{""type"":""Point"",""coordinates"":[73.67016115335922,18.5492300441782]}"
144,49.83405404000001,0.13763590949162505,"{""type"":""Point"",""coordinates"":[73.45646203950807,18.6217412291501]}"
145,46.761254060000056,0.12728984279393768,"{""type"":""Point"",""coordinates"":[73.56606450359887,18.603395203942853]}"
146,31.492958720000047,-0.005426686529048734,"{""type"":""Point"",""coordinates"":[73.8072206260905,18.2053082548932]}"
147,39.732095930000014,0.16586475700272277,"{""type"":""Point"",""coordinates"":[73.97336916135889,18.71693556871572]}"
148,44.07981737,0.17897738369594937,"{""type"":""Point"",""coordinates"":[74.22091716933564,18.507795237981508]}"
149,37.56678026000003,0.3269360150136327,"{""type"":""Point"",""coordinates"":[74.51396942651361,18.584657078297134]}"
150,48.162642259999984,0.2073552130826331,"{""type"":""Point"",""coordinates"":[75.05861377466195,18.075754894734658]}"
151,48.22074859999998,0.1550011704511253,"{""type"":""Point"",""coordinates"":[74.50114489094531,18.13461080336627]}"
152,29.630137820000016,-0.0014233841684822078,"{""type"":""Point"",""coordinates"":[73.48484548176762,18.673087321582816]}"
153,44.618155520000016,0.14802038279020086,"{""type"":""Point"",""coordinates"":[73.53632703962916,18.54905903464243]}"
154,52.11045536000006,0.036479848737077915,"{""type"":""Point"",""coordinates"":[74.04995725174103,18.789948048653933]}"
